Project_Number,Project_Title,Project_Description,OIA_AREA,Round,Approval_Date,Program,Lead_Research_Institution,City,Ontario_Commitment,Total_Project_Costs,Keyword,EXPENDITURE_TYPE,First_Name,Last_Name
27591,Cellular and Molecular Neuroendocrinology Laboratory,"The main objective of this proposal is to establish a world class, state-of-the art facility to study hormones that regulate food intake, body weight and blood glucose levels. The three key elements of this research are: significant improvement to existing knowledge, tremendous opportunities for training highly qualified personnel and the potential to translate research findings for human benefit. The outcome of this research will help Ontarians to develop treatment strategies for obesity and diabetes, and to enhance aquaculture productivity.",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,York University,Toronto,"$94,652","$236,631",,Capital,Suraj,Unniappan
27616,"Compression, Transmission and Representation of 3D video over networks","The proposed research will provide a facility for developing state of the art solutions for 3D video acquisition, compression and transmission. It will lead to new breakthroughs in applications such as interactive mobile video conferencing and broadcasting live TV programs to millions of consumers over Internet.",Digital media and information and communications technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$99,984","$249,960",,Capital,Ashish,Khisti
27682,The Organization of Verbal Memory in the Human Brain,"The goal of the project is to investigate the way in which verbal memories are stored, maintained, and accessed in the brain. The neural systems that underlie memory for verbal information will be examined using neuroimaging tools to uncover how neural systems function to support memory for speech.",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Baycrest Centre for Geriatric Care,Toronto,"$61,618","$154,296",,Capital,Bradley,Buchsbaum
27751,Infrastructure for Macromolecular Crystallography,"This project will upgrade the X-ray facility for macromolecular crystallography at the University of Toronto by replacing outdated and adding urgently needed infrastructure equipment. It will advance work on antibodies interacting with HIV, HCMV and BSE-causing prions as well as membrane proteins.",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$180,000","$454,097",,Capital,Emil,Pai
27796,Plant Growth and Molecular Profiling Facility,"We are using state-of-the-art genomics technologies to study a native plant (Thellungiella salsuginea) that thrives in an environment prone to drought, cold temperatures, and low soil fertility.  Genes we identify will be used to design crops with improved performance under poor growing conditions.",Bio-economy and clean technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,McMaster University,Hamilton,"$100,000","$258,155",,Capital,Elizabeth,Weretilnyk
26593,Cooperative mining machines research test-bed,There is an unexplored opportunity in the combination of ideas from the emerging field of cooperative control with real problems in mining machine coordination.  The proposed research aims to study the potential for cooperative behaviour in mining toward improving the safety and productivity of operations.,Investigation of new sources,Small Infrastructure Fund - Round 021 - 2011 - February,27-Jun-11,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$150,000","$440,188",,Capital,Joshua,Marshall
27360,Mechanical and spectroscopic properties of nanoscale soft materials,"The infrastructure will enable new research on soft material properties on the nanoscale or with nanoscale precision. This research will characterise new material properties not observed on macroscopic samples, and will investigate the interaction of proteins with nanoscale objects.",Development and creation of investigation spots,Small Infrastructure Fund - Round 021 - 2011 - February,27-Jun-11,Ontario Research Fund - Research Infrastructure,University of Waterloo,Waterloo,"$100,000","$436,907",,Capital,James,Forrest
27722,Developmental Cognitive Neuroscience Laboratory for Theoretical and Applied Neuroeducation Research,"A laboratory for research on education and the brain is proposed, including equipment for measuring brain electrical activity and eye movements. Resulting neuroeducation research will inform educational practice and policy, through increased understanding of cognitive flexibility, learning, and memory.",Advanced health technologies,Small Infrastructure Fund - Round 021 - 2011 - February,27-Jun-11,Ontario Research Fund - Research Infrastructure,York University,Toronto,"$100,777","$253,675",,Capital,Nicholas,Cepeda
27746,Laboratory for Applied Single-Molecule Biophysics,"The proposed research program is dedicated to the development of novel techniques and methods to manipulate and characterize single-molecules using nanoscale devices, and to translate these discoveries into new tools for the life sciences.",Chemical and biological experimentation for the future,Small Infrastructure Fund - Round 021 - 2011 - February,27-Jun-11,Ontario Research Fund - Research Infrastructure,University of Ottawa,Ottawa,"$160,871","$402,176",,Capital,Vincent,Tabard-Cossa
27851,Experimental channel for river hydraulics,The objective of this proposal is to build an experimental river channel equipped with cutting-edge instrumentation.  This infrastructure will propel research into new topics in sediment transport and flow turbulence as a means of improving the management and restoration of degraded river systems.,Bio-economy and clean technologies,Small Infrastructure Fund - Round 021 - 2011 - February,27-Jun-11,Ontario Research Fund - Research Infrastructure,University of Waterloo,Waterloo,"$50,000","$126,815",,Capital,Bruce,MacVicar
27871,Groundwater-Coastal Water Interactions Laboratory,This proposal seeks infrastructure to enhance understanding of the interactions between groundwater and coastal waters. This is urgently required to develop effective policy and management actions to protect coastal areas and waters that are critical to the well-being and health of Ontarians.,Bio-economy and clean technologies,Small Infrastructure Fund - Round 021 - 2011 - February,27-Jun-11,Ontario Research Fund - Research Infrastructure,The University of Western Ontario,London,"$222,982","$557,454",,Capital,Clare,Robinson
27881,"High resolution real-time 3D imaging of bacterial infection in living hosts:
Investigation of blood-borne dissemination mechanisms of the Lyme disease pathogen",Hematogenous (blood-borne) dissemination is a critical but poorly understood stage of many infectious diseases. The proposed project will use recently developed intravital microscopy approaches to study dissemination mechanisms of the Lyme disease bacterium Borrelia burgdorferi and other pathogens.,Advanced health technologies,Small Infrastructure Fund - Round 021 - 2011 - February,27-Jun-11,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$249,292","$637,024",,Capital,Tara,Moriarty
